category_id,category_code,count_purchase_category,sales_category,best_selling_product_id,count_purchase_product,sales_product,category_sales_per
2232732107883414193,electronics.audio.acoustic,377,53596.15,14100411,98,14591.54,0.272249779135255051
2232732104343421549,apparel.scarf,376,18927.22,9200409,23,287.38,0.015183423661795023
2053013560312726199,furniture.living_room.chair,374,41400.77,6902463,16,823.35,0.019887311274645375
2053013553316626707,computers.ebooks,373,49863.21,5200096,35,3601.72,0.072232012339358016
2053013558031024687,not specified,371,27300.72,31500231,103,4525.49,0.165764492658069091
2053013556227473861,construction.tools.saw,370,77864.07,19100228,39,8447.72,0.108493172781746446
2232732103764607583,apparel.shoes,367,44892.92,7100133,35,5057.14,0.112648943307764342
2053013557066334713,not specified,364,66746.12,13400422,22,2203.32,0.033010458135993523
2232732085150286011,computers.desktop,358,10068.60,8902633,68,2433.04,0.241646306338517768
2053013558316237377,furniture.kitchen.table,356,59740.49,16800584,25,2477.50,0.041471035808377199
2085718636156158307,not specified,355,28391.86,38900019,50,4865.00,0.171351929743243310
2232732103982711397,furniture.kitchen.table,353,11911.37,7600562,59,2048.48,0.171976859085059065
2053013552788144369,not specified,351,4089.37,12800087,25,135.68,0.033178704788268120
2053013555531219353,electronics.telephone,344,12558.77,11300005,63,1648.29,0.131246133180239785
2232732061804790604,furniture.bedroom.bed,343,70874.99,13200019,23,8886.51,0.125382874833562587
2232732099436085763,construction.tools.welding,340,7476.11,18000919,24,370.08,0.049501679349287263
2232732091131363646,not specified,336,19094.31,12500527,48,2223.84,0.116466109537343847
2053013557569651219,auto.accessories.winch,335,14906.27,15500040,20,947.28,0.063549097124901132
2053013557569651219,not specified,335,14906.27,15500040,20,947.28,0.063549097124901132
2053013558223962683,not specified,334,12252.59,16000973,31,1094.50,0.089328052273029621
2053013559515808389,not specified,333,23445.87,20000099,25,2301.01,0.098141378417606171
2053013560178508465,construction.tools.generator,332,69810.40,21200003,43,198.23,0.002839548262150052
2053013555816432043,kids.skates,331,94437.14,12100045,52,19201.22,0.203322760515619173
2053013558895051365,not specified,325,7107.84,17601132,8,347.80,0.048931883666486584
2232732116137804674,apparel.underwear,324,24526.91,28722283,13,1129.28,0.046042489657278475
2116907519078040377,apparel.shoes,322,29656.38,28715827,21,1288.09,0.043433824357524418
2141355068383822734,not specified,317,10136.63,53300010,50,732.50,0.072262675070511600
2053013555724157349,sport.bicycle,316,15553.62,10800025,74,4049.62,0.260365111144543843
2232732092087664982,electronics.audio.microphone,311,28808.12,12400121,38,1691.38,0.058711918722915622
2232732105635267203,kids.swing,307,7225.78,11200505,53,1371.08,0.189748373186008984
2146660887203676486,apparel.costume,302,18939.44,54900013,51,2947.23,0.155613365548294987
2053013552427434207,not specified,301,23899.06,22300003,236,18243.45,0.763354290921902368
2232732092767142250,furniture.universal.light,300,2261.56,26018219,22,265.62,0.117449901837669573
2232732069279040441,auto.accessories.alarm,300,16391.79,27900034,52,1876.64,0.114486581392270155
2053013559104766575,not specified,299,5810.83,19700095,33,376.88,0.064858204421743537
2053013557385101831,appliances.kitchen.dishwasher,298,111598.70,4600483,25,7709.05,0.069078313636269957
2053013557385101831,appliances.kitchen.dishwasher,298,111598.70,4600498,25,9641.36,0.086393121066822463
2053013554960793975,appliances.kitchen.toster,297,13329.95,11000101,60,1953.53,0.146551937554154367
2232732106717397655,not specified,296,153478.62,8500141,30,19135.99,0.124681796070358204
2232732115617710964,apparel.shoes.keds,292,21433.20,31500157,140,7204.33,0.336129462702722879
2232732092028944724,construction.tools.saw,292,34977.69,19200005,89,8015.07,0.229148065524052618
2053013564741911467,not specified,289,13389.26,27900034,53,1910.01,0.142652394531139137
2232732093345956218,construction.tools.light,286,58174.44,19100193,23,2086.41,0.035864719969801170
2053013554474254687,electronics.audio.microphone,285,26183.80,22400036,30,669.57,0.025571918514501333
